Position,Painter Name,Score,,,,,,,,,,,,,
1,Matthew Lyons,223.33,,,,,,,,,,,,,223.33
2,Adam Cunis,220,,,,,,,,,,,,,220
3,James Warth,208.67,,,,,,,,,,,,,208.67
4,Aaron Bailey,200,,,,,,,,,,,,,200
5,Benjamin Savva,200,,,,,,,,,,,,,200
6,Tim Fisher,200,,,,,,,,,,,,,200
7,Danny Cashman,180,,,,,,,,,,,,,180
8,Russ Veal,180,,,,,,,,,,,,,180
9,Ben Johnson,156,,,,,,,,,,,,,156
10,Mike Burges,140,,,,,,,,,,,,,140
11,Steve Wren,140,,,,,,,,,,,,,140
12,Brad Glover,132,,,,,,,,,,,,,132
13,Paul Buckler,130,,,,,,,,,,,,,130
14,Chris Tomlin,111.33,,,,,,,,,,,,,111.33
15,Chris Mills,105,,,,,,,,,,,,,105
16,Les Martin,104,,,,,,,,,,,,,104
17,Adam Elford,103.33,,,,,,,,,,,,,103.33
18,Alexis Deville,100,,,,,,,,,,,,,100
19,Ben Booker,100,,,,,,,,,,,,,100
20,J.B Legous,100,,,,,,,,,,,,,100
21,Joe Logan,100,,,,,,,,,,,,,100
22,John Greene,100,,,,,,,,,,,,,100
23,Terry Pike,100,,,,,,,,,,,,,100
24,Andrea Anselmi,80,,,,,,,,,,,,,80
25,Anthony Lewis,80,,,,,,,,,,,,,80
26,Francois Morin,80,,,,,,,,,,,,,80
27,Ian Hannam,80,,,,,,,,,,,,,80
28,James Williams,80,,,,,,,,,,,,,80
29,Lee Bromley,80,,,,,,,,,,,,,80
30,Nick Peart,80,,,,,,,,,,,,,80
31,Sam Saunders,80,,,,,,,,,,,,,80
32,Steve Smith,80,,,,,,,,,,,,,80
33,Tom Fildes,80,,,,,,,,,,,,,80
34,Wayne Kemp,80,,,,,,,,,,,,,80
35,Ben Smith,66,,,,,,,,,,,,,66
36,Karl Breakspear,64,,,,,,,,,,,,,64
37,Martin Morrin,64,,,,,,,,,,,,,64
38,Danny Carroll,60,,,,,,,,,,,,,60
39,John Southgate,60,,,,,,,,,,,,,60
40,Graham Shirley,50,,,,,,,,,,,,,50
41,Michael Slowey,50,,,,,,,,,,,,,50
42,Gary Hennessey,48,,,,,,,,,,,,,48
43,Rich Morley,48,,,,,,,,,,,,,48
44,Ben Chalk,43.33,,,,,,,,,,,,,43.33
45,Adam Cooper,40,,,,,,,,,,,,,40
46,Adam Hall,40,,,,,,,,,,,,,40
47,Adi McWalter,40,,,,,,,,,,,,,40
